Cosine Similarity: 0.8447, Euclidean Distance: 3.9590
Cosine Similarity: 0.5283, Euclidean Distance: 8.4062
Cosine Similarity: 0.8530, Euclidean Distance: 4.0039
Cosine Similarity: 0.6045, Euclidean Distance: 6.6250
Cosine Similarity: 0.4729, Euclidean Distance: 11.7266
Cosine Similarity: 0.7461, Euclidean Distance: 5.2344
Cosine Similarity: 0.8320, Euclidean Distance: 4.1094
Cosine Similarity: 0.6953, Euclidean Distance: 5.7500
Cosine Similarity: 0.7534, Euclidean Distance: 5.2969
Cosine Similarity: 0.7524, Euclidean Distance: 5.2852
Cosine Similarity: 0.6665, Euclidean Distance: 6.3555
Cosine Similarity: 0.6519, Euclidean Distance: 5.8281
Cosine Similarity: 0.5386, Euclidean Distance: 9.6953
Cosine Similarity: 0.6919, Euclidean Distance: 5.9648
Cosine Similarity: 0.7505, Euclidean Distance: 5.0742
Cosine Similarity: 0.7632, Euclidean Distance: 4.8477
Cosine Similarity: 0.6465, Euclidean Distance: 6.2695
Cosine Similarity: 0.6812, Euclidean Distance: 6.7539
Cosine Similarity: 0.7500, Euclidean Distance: 4.8906
Cosine Similarity: 0.7759, Euclidean Distance: 5.2930
Cosine Similarity: 0.6553, Euclidean Distance: 6.8672
Cosine Similarity: 0.7456, Euclidean Distance: 5.6758
Cosine Similarity: 0.6289, Euclidean Distance: 6.6875
Cosine Similarity: 0.8345, Euclidean Distance: 4.0859
Cosine Similarity: 0.6450, Euclidean Distance: 6.6797
Cosine Similarity: 0.5566, Euclidean Distance: 8.3438
Cosine Similarity: 0.7461, Euclidean Distance: 5.3359
Cosine Similarity: 0.6152, Euclidean Distance: 7.6133
Cosine Similarity: 0.6714, Euclidean Distance: 6.8203
Cosine Similarity: 0.6636, Euclidean Distance: 6.0039
Cosine Similarity: 0.7979, Euclidean Distance: 4.6250
Cosine Similarity: 0.7178, Euclidean Distance: 5.6211
Cosine Similarity: 0.7095, Euclidean Distance: 5.2812
Cosine Similarity: 0.7510, Euclidean Distance: 4.9102
Cosine Similarity: 0.6885, Euclidean Distance: 6.0469
Cosine Similarity: 0.8081, Euclidean Distance: 4.4180
Cosine Similarity: 0.7271, Euclidean Distance: 5.6289
Cosine Similarity: 0.6616, Euclidean Distance: 6.6133
Cosine Similarity: 0.7529, Euclidean Distance: 4.9336
Cosine Similarity: 0.7578, Euclidean Distance: 4.8828
Cosine Similarity: 0.8091, Euclidean Distance: 4.3477
Cosine Similarity: 0.5581, Euclidean Distance: 7.5430
Cosine Similarity: 0.6147, Euclidean Distance: 7.6328
Cosine Similarity: 0.7700, Euclidean Distance: 4.7695
Cosine Similarity: 0.6914, Euclidean Distance: 6.2656
